Date,Open,High,Low,Close,Adj Close,Volume
2020-02-21,318000.000000,318000.000000,315500.000000,315500.000000,315500.000000,0
2020-02-24,309500.000000,309500.000000,309500.000000,309500.000000,309500.000000,0
2020-02-25,308000.000000,308000.000000,304500.000000,304500.000000,304500.000000,0
2020-02-26,303000.000000,303000.000000,303000.000000,303000.000000,303000.000000,0
2020-02-27,289000.000000,289000.000000,289000.000000,289000.000000,289000.000000,0
2020-02-28,277500.000000,277500.000000,277500.000000,277500.000000,277500.000000,0
2020-03-02,281500.000000,281500.000000,281500.000000,281500.000000,281500.000000,0
2020-03-03,281500.000000,281500.000000,281500.000000,281500.000000,281500.000000,0
2020-03-04,286500.000000,286500.000000,286500.000000,286500.000000,286500.000000,0
2020-03-05,284000.000000,284000.000000,284000.000000,284000.000000,284000.000000,0
2020-03-06,272000.000000,272000.000000,272000.000000,272000.000000,272000.000000,0
2020-03-09,261500.000000,261500.000000,261500.000000,261500.000000,261500.000000,0
2020-03-10,261000.000000,261000.000000,261000.000000,261000.000000,261000.000000,0
2020-03-11,261000.000000,261000.000000,261000.000000,261000.000000,261000.000000,0
2020-03-12,244000.000000,244000.000000,244000.000000,244000.000000,244000.000000,0
2020-03-13,244000.000000,244000.000000,244000.000000,244000.000000,244000.000000,0
2020-03-16,249000.000000,249000.000000,249000.000000,249000.000000,249000.000000,0
2020-03-17,247000.000000,247000.000000,247000.000000,247000.000000,247000.000000,0
2020-03-18,242500.000000,242500.000000,242500.000000,242500.000000,242500.000000,0
2020-03-19,242500.000000,242500.000000,242500.000000,242500.000000,242500.000000,0
2020-03-20,239500.000000,239500.000000,239500.000000,239500.000000,239500.000000,0
2020-03-23,226500.000000,226500.000000,226500.000000,226500.000000,226500.000000,0
2020-03-24,248000.000000,248000.000000,248000.000000,248000.000000,248000.000000,0
2020-03-25,248000.000000,248000.000000,248000.000000,248000.000000,248000.000000,0
2020-03-26,249500.000000,249500.000000,249500.000000,249500.000000,249500.000000,0
2020-03-27,244000.000000,244000.000000,244000.000000,244000.000000,244000.000000,0
2020-03-30,248000.000000,248000.000000,248000.000000,248000.000000,248000.000000,0
2020-03-31,253500.000000,253500.000000,253500.000000,253500.000000,253500.000000,0
2020-04-01,243500.000000,243500.000000,243500.000000,243500.000000,243500.000000,0
2020-04-02,243000.000000,243000.000000,243000.000000,243000.000000,243000.000000,0
2020-04-03,243000.000000,243000.000000,243000.000000,243000.000000,243000.000000,0
2020-04-06,254000.000000,254000.000000,254000.000000,254000.000000,254000.000000,0
2020-04-07,254000.000000,254000.000000,254000.000000,254000.000000,254000.000000,0
2020-04-08,261000.000000,261000.000000,261000.000000,261000.000000,261000.000000,0
2020-04-09,267000.000000,267000.000000,267000.000000,267000.000000,267000.000000,0
2020-04-14,267000.000000,267000.000000,267000.000000,267000.000000,267000.000000,0
2020-04-15,258500.000000,258500.000000,258500.000000,258500.000000,258500.000000,0
2020-04-16,260000.000000,260000.000000,260000.000000,260000.000000,260000.000000,0
2020-04-17,261500.000000,261500.000000,261500.000000,261500.000000,261500.000000,0
2020-04-20,261000.000000,261000.000000,261000.000000,261000.000000,261000.000000,0
2020-04-21,255500.000000,255500.000000,255500.000000,255500.000000,255500.000000,0
2020-04-22,258500.000000,258500.000000,258500.000000,258500.000000,258500.000000,0
2020-04-23,259000.000000,259000.000000,259000.000000,259000.000000,259000.000000,0
2020-04-24,257000.000000,257000.000000,257000.000000,257000.000000,257000.000000,0
2020-04-27,260500.000000,260500.000000,260500.000000,260500.000000,260500.000000,0
2020-04-28,261000.000000,261000.000000,261000.000000,261000.000000,261000.000000,0
2020-04-29,264000.000000,264000.000000,264000.000000,264000.000000,264000.000000,0
2020-04-30,260000.000000,260000.000000,260000.000000,260000.000000,260000.000000,0
2020-05-04,243500.000000,243500.000000,243500.000000,243500.000000,243500.000000,0
2020-05-05,246500.000000,246500.000000,246500.000000,246500.000000,246500.000000,0
2020-05-06,243500.000000,243500.000000,243500.000000,243500.000000,243500.000000,0
2020-05-07,243500.000000,243500.000000,243500.000000,243500.000000,243500.000000,0
2020-05-08,243500.000000,243500.000000,243500.000000,243500.000000,243500.000000,0
2020-05-11,243500.000000,243500.000000,243500.000000,243500.000000,243500.000000,0
2020-05-12,242000.000000,242000.000000,242000.000000,242000.000000,242000.000000,0
2020-05-13,237000.000000,237000.000000,237000.000000,237000.000000,237000.000000,0
2020-05-14,236500.000000,236500.000000,236500.000000,236500.000000,236500.000000,0
2020-05-15,235000.000000,235000.000000,235000.000000,235000.000000,235000.000000,0
2020-05-18,241000.000000,241000.000000,241000.000000,241000.000000,241000.000000,0
2020-05-19,240000.000000,240000.000000,240000.000000,240000.000000,240000.000000,0
2020-05-20,241500.000000,241500.000000,241500.000000,241500.000000,241500.000000,0
2020-05-21,240500.000000,240500.000000,240500.000000,240500.000000,240500.000000,0
2020-05-22,240000.000000,240000.000000,240000.000000,240000.000000,240000.000000,0
2020-05-25,240000.000000,240000.000000,240000.000000,240000.000000,240000.000000,0
2020-05-26,246500.000000,246500.000000,246500.000000,246500.000000,246500.000000,0
2020-05-27,254000.000000,254000.000000,254000.000000,254000.000000,254000.000000,0
2020-05-28,251500.000000,251500.000000,251500.000000,251500.000000,251500.000000,0
2020-05-29,248000.000000,248000.000000,248000.000000,248000.000000,248000.000000,0
2020-06-02,250000.000000,250000.000000,250000.000000,250000.000000,250000.000000,0
2020-06-03,249000.000000,255500.000000,249000.000000,255500.000000,255500.000000,0
2020-06-04,254000.000000,254000.000000,254000.000000,254000.000000,254000.000000,0
2020-06-05,267000.000000,267000.000000,267000.000000,267000.000000,267000.000000,0
2020-06-08,268500.000000,268500.000000,268500.000000,268500.000000,268500.000000,0
2020-06-09,259500.000000,259500.000000,259500.000000,259500.000000,259500.000000,0
2020-06-10,257500.000000,257500.000000,257500.000000,257500.000000,257500.000000,0
2020-06-11,241000.000000,241000.000000,241000.000000,241000.000000,241000.000000,0
2020-06-12,241000.000000,241000.000000,241000.000000,241000.000000,241000.000000,0
2020-06-15,239500.000000,239500.000000,239500.000000,239500.000000,239500.000000,0
2020-06-16,243500.000000,243500.000000,243500.000000,243500.000000,243500.000000,0
2020-06-17,244000.000000,244000.000000,244000.000000,244000.000000,244000.000000,0
2020-06-18,242500.000000,242500.000000,242500.000000,242500.000000,242500.000000,0
2020-06-19,244500.000000,244500.000000,242500.000000,242500.000000,242500.000000,0
2020-06-22,240500.000000,240500.000000,240500.000000,240500.000000,240500.000000,0
2020-06-23,242000.000000,242000.000000,240500.000000,240500.000000,240500.000000,0
2020-06-24,238000.000000,238000.000000,238000.000000,238000.000000,238000.000000,0
2020-06-25,238500.000000,238500.000000,238500.000000,238500.000000,238500.000000,0
2020-06-26,236500.000000,236500.000000,236500.000000,236500.000000,236500.000000,0
2020-06-29,236500.000000,236500.000000,236500.000000,236500.000000,236500.000000,0
2020-06-30,236500.000000,236500.000000,236500.000000,236500.000000,236500.000000,0
2020-07-01,236500.000000,236500.000000,236500.000000,236500.000000,236500.000000,0
2020-07-02,236500.000000,236500.000000,236500.000000,236500.000000,236500.000000,0
2020-07-03,236500.000000,236500.000000,236500.000000,236500.000000,236500.000000,0
2020-07-06,241000.000000,241000.000000,241000.000000,241000.000000,241000.000000,0
2020-07-07,242500.000000,242500.000000,242500.000000,242500.000000,242500.000000,0
2020-07-08,240500.000000,240500.000000,240500.000000,240500.000000,240500.000000,0
2020-07-09,237500.000000,237500.000000,237500.000000,237500.000000,237500.000000,0
2020-07-10,240000.000000,240000.000000,240000.000000,240000.000000,240000.000000,0
2020-07-13,245500.000000,245500.000000,245500.000000,245500.000000,245500.000000,0
2020-07-14,248000.000000,248000.000000,248000.000000,248000.000000,248000.000000,0
2020-07-15,251000.000000,251000.000000,251000.000000,251000.000000,251000.000000,0
2020-07-16,251500.000000,251500.000000,251500.000000,251500.000000,251500.000000,0
2020-07-17,251000.000000,251000.000000,251000.000000,251000.000000,251000.000000,0
2020-07-20,249500.000000,249500.000000,249500.000000,249500.000000,249500.000000,0
2020-07-21,252500.000000,252500.000000,252500.000000,252500.000000,252500.000000,0
2020-07-22,249000.000000,249000.000000,249000.000000,249000.000000,249000.000000,0
2020-07-23,249000.000000,249000.000000,249000.000000,249000.000000,249000.000000,0
2020-07-24,251500.000000,251500.000000,251500.000000,251500.000000,251500.000000,0
2020-07-27,250000.000000,250000.000000,247000.000000,247000.000000,247000.000000,0
2020-07-28,246000.000000,247500.000000,246000.000000,247500.000000,247500.000000,0
2020-07-29,249000.000000,249000.000000,249000.000000,249000.000000,249000.000000,0
2020-07-30,246500.000000,246500.000000,246500.000000,246500.000000,246500.000000,0
2020-07-31,248500.000000,248500.000000,248500.000000,248500.000000,248500.000000,0
2020-08-03,250000.000000,256000.000000,250000.000000,256000.000000,256000.000000,0
2020-08-04,255000.000000,255000.000000,255000.000000,255000.000000,255000.000000,0
2020-08-05,258000.000000,258000.000000,258000.000000,258000.000000,258000.000000,0
2020-08-06,258000.000000,258000.000000,258000.000000,258000.000000,258000.000000,0
2020-08-07,259500.000000,262500.000000,259500.000000,262500.000000,262500.000000,0
2020-08-10,268500.000000,268500.000000,268500.000000,268500.000000,268500.000000,0
2020-08-11,274500.000000,274500.000000,274500.000000,274500.000000,274500.000000,0
2020-08-12,272000.000000,272000.000000,272000.000000,272000.000000,272000.000000,0
2020-08-13,270000.000000,270000.000000,270000.000000,270000.000000,270000.000000,0
2020-08-14,269000.000000,269000.000000,269000.000000,269000.000000,269000.000000,0
2020-08-17,263500.000000,263500.000000,263500.000000,263500.000000,263500.000000,0
2020-08-18,263000.000000,263000.000000,263000.000000,263000.000000,263000.000000,0
2020-08-19,263500.000000,263500.000000,263500.000000,263500.000000,263500.000000,0
2020-08-20,261500.000000,261500.000000,261500.000000,261500.000000,261500.000000,0
2020-08-21,264500.000000,264500.000000,264500.000000,264500.000000,264500.000000,0
2020-08-24,264500.000000,264500.000000,264500.000000,264500.000000,264500.000000,0
2020-08-25,271000.000000,272000.000000,271000.000000,272000.000000,272000.000000,0
2020-08-26,272500.000000,272500.000000,272500.000000,272500.000000,272500.000000,0
2020-08-27,276000.000000,276000.000000,276000.000000,276000.000000,276000.000000,0
2020-08-28,274500.000000,274500.000000,274500.000000,274500.000000,274500.000000,0
2020-08-31,275000.000000,275000.000000,275000.000000,275000.000000,275000.000000,0
2020-09-01,273500.000000,273500.000000,273500.000000,273500.000000,273500.000000,0
2020-09-02,280000.000000,280000.000000,280000.000000,280000.000000,280000.000000,0
2020-09-03,278500.000000,278500.000000,278500.000000,278500.000000,278500.000000,0
2020-09-04,279000.000000,279000.000000,275500.000000,275500.000000,275500.000000,0
2020-09-07,276500.000000,278000.000000,276500.000000,278000.000000,278000.000000,0
2020-09-08,275500.000000,275500.000000,275500.000000,275500.000000,275500.000000,0
2020-09-09,281000.000000,281000.000000,281000.000000,281000.000000,281000.000000,0
2020-09-10,277500.000000,277500.000000,277500.000000,277500.000000,277500.000000,0
2020-09-11,277500.000000,277500.000000,277000.000000,277000.000000,277000.000000,0
2020-09-14,278500.000000,278500.000000,278500.000000,278500.000000,278500.000000,0
2020-09-15,278500.000000,278500.000000,278500.000000,278500.000000,278500.000000,0
2020-09-16,280500.000000,280500.000000,280500.000000,280500.000000,280500.000000,0
2020-09-17,277000.000000,277000.000000,277000.000000,277000.000000,277000.000000,0
2020-09-18,275500.000000,279000.000000,275500.000000,279000.000000,279000.000000,0
2020-09-21,268000.000000,268000.000000,268000.000000,268000.000000,268000.000000,0
2020-09-22,273000.000000,273000.000000,273000.000000,273000.000000,273000.000000,0
2020-09-23,273500.000000,273500.000000,273500.000000,273500.000000,273500.000000,0
2020-09-24,267000.000000,267000.000000,267000.000000,267000.000000,267000.000000,0
2020-09-25,269500.000000,269500.000000,269500.000000,269500.000000,269500.000000,0
2020-09-28,277000.000000,277000.000000,277000.000000,277000.000000,277000.000000,0
2020-09-29,270500.000000,270500.000000,270500.000000,270500.000000,270500.000000,0
2020-09-30,271500.000000,271500.000000,271500.000000,271500.000000,271500.000000,0
2020-10-01,273000.000000,273000.000000,273000.000000,273000.000000,273000.000000,0
2020-10-02,271000.000000,271000.000000,271000.000000,271000.000000,271000.000000,0
2020-10-05,272000.000000,272000.000000,272000.000000,272000.000000,272000.000000,0
2020-10-06,271000.000000,271000.000000,270500.000000,270500.000000,270500.000000,0
2020-10-07,271000.000000,271000.000000,271000.000000,271000.000000,271000.000000,0
